FF SN,SF SN,lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
4Q3XF2BJ040005,4Q0YM74J050046,277.2,450.4,223.4,249.8,2000.0,500.0,600.0,5100.0
4Q3XF2BHCR00Q3,4Q0YM74J05004M,58.6,335.8,213.7,129.3,1600.0,400.0,500.0,4500.0
4Q3XF2BHCR008P,4Q0YM74J05004R,42.5,341.7,192.3,119.1,1800.0,400.0,600.0,5200.0
4Q3XF2BHCR009G,4Q0YM74J05004Q,49.6,329.6,186.0,121.8,2000.0,500.0,600.0,5200.0
4Q3XF2BHCR0085,4Q0YM74J05002B,46.5,323.9,179.9,121.0,1700.0,400.0,500.0,5200.0
4Q3XF2BHCR0086,4Q0YM74J05004H,113.8,316.8,174.2,132.7,1900.0,400.0,500.0,4800.0
4Q3XF2BHCR008N,4Q0YM74J05002H,42.3,307.8,180.5,116.7,1700.0,300.0,500.0,4600.0
4Q3XF2BHCR00N3,4Q0YM74J050062,297.8,394.7,220.0,236.0,2100.0,500.0,600.0,5500.0
4Q3XF2BHCR008Z,4Q0YM74J05005N,38.9,301.5,170.1,117.2,2000.0,500.0,600.0,5800.0
4Q3XF2BHCR00B7,4Q0YM74J050026,38.1,316.8,188.9,124.5,2000.0,500.0,600.0,5500.0
4Q3XF2CHCR00D6,4Q0YM75J080009,117.8,334.1,155.4,178.7,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00H9,4Q0YM75J08001V,57.2,309.8,145.9,156.9,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00HB,4Q0YM75J080004,36.1,332.1,165.7,150.6,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00J4,4Q0YM75J08000K,114.1,373.2,178.2,199.0,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00FS,4Q0YM75J080010,197.5,416.2,206.4,244.0,1800.0,400.0,500.0,3900.0
4Q3XF2BJ04001D,4Q0YM74J050054,320.6,424.9,215.4,267.0,1800.0,400.0,500.0,4700.0
4Q3XF2BJ04000Q,4Q0YM74J050040,271.6,381.4,207.0,219.3,2200.0,600.0,700.0,5900.0
4Q3XF2BHCR00JX,4Q0YM74J05002K,40.1,316.6,191.7,116.2,1900.0,400.0,600.0,5500.0
4Q3XF2BHCR00PX,4Q0YM74J05002N,55.3,363.2,199.0,129.0,2000.0,500.0,600.0,5500.0
4Q3XF2BJ040001,4Q0YM74J05004L,315.0,439.1,216.0,260.4,1700.0,300.0,500.0,4500.0
4Q3XF2BHCR00HY,4Q0YM74J05000J,44.5,300.7,174.2,129.0,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR00MQ,4Q0YM74J05000S,35.5,291.0,174.2,125.2,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR008W,4Q0YM74J05002P,45.4,334.1,188.3,128.3,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR00PB,4Q0YM74J05001G,70.7,334.1,188.9,134.6,2000.0,500.0,600.0,4800.0
4Q3XF2BJ04000G,4Q0YM74J05003H,309.4,440.2,229.5,249.3,5400.0,800.0,900.0,5500.0
4Q3XF2BHCR00LX,4Q0YM74J050048,71.3,308.9,172.4,123.5,2000.0,500.0,600.0,5200.0
4Q3XF2BJ04001Y,4Q0YM74J05001Q,284.0,404.5,207.6,250.0,1800.0,400.0,500.0,4800.0
4Q3XF2BHCR00LV,4Q0YM74J05003P,47.7,323.9,207.0,124.2,2100.0,500.0,600.0,5500.0
4Q3XF2BHCR00P4,4Q0YM74J050047,42.3,304.3,184.8,122.2,1800.0,400.0,500.0,5500.0
4Q3XF2BHCR00PR,4Q0YM74J050011,46.0,332.6,181.6,125.9,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR00LT,4Q0YM74J05001P,76.1,329.3,191.1,133.0,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR00LG,4Q0YM74J050058,51.3,336.9,196.3,119.6,1800.0,400.0,500.0,4700.0
4Q3XF2BJ04000J,4Q0YM74J05004N,198.9,389.0,186.0,212.8,2800.0,700.0,800.0,5500.0
4Q3XF2BHCR00KY,4Q0YM74J050012,45.1,336.4,206.4,127.6,1800.0,400.0,500.0,5100.0
4Q3XF2BHCR009Z,4Q0YM74J05001H,47.4,348.5,195.2,126.7,2500.0,700.0,800.0,5900.0
