lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
97.3,333.5,158.3,165.1,2400.0,600.0,600.0,4300.0
223.4,409.4,188.3,300.4,2100.0,300.0,500.0,4400.0
30.7,279.2,141.3,126.4,2700.0,700.0,700.0,6000.0
41.2,328.1,164.0,140.9,2100.0,300.0,500.0,4400.0
188.5,386.2,161.2,303.8,1900.0,300.0,500.0,4700.0
222.0,389.8,174.2,281.0,2000.0,400.0,600.0,4900.0
52.4,307.5,145.3,148.9,2400.0,700.0,600.0,5400.0
31.0,301.5,160.0,124.9,2100.0,300.0,500.0,3900.0
220.0,390.1,171.9,301.4,1900.0,300.0,500.0,4700.0
184.8,361.8,152.2,257.6,2400.0,600.0,600.0,5200.0
227.3,404.8,174.2,300.2,2100.0,500.0,500.0,4400.0
204.2,379.4,154.5,261.9,2100.0,300.0,500.0,4400.0
50.1,293.9,136.3,135.6,2100.0,500.0,600.0,4400.0
242.8,408.3,181.0,267.7,2400.0,600.0,600.0,4000.0
225.1,382.2,170.1,268.4,2400.0,700.0,600.0,6000.0
33.0,316.0,141.9,145.2,2200.0,600.0,500.0,4300.0
215.8,365.2,143.0,270.4,2500.0,500.0,700.0,5200.0
262.0,464.9,204.7,335.0,1900.0,300.0,400.0,4200.0
229.6,428.1,191.7,294.4,2700.0,700.0,700.0,4800.0
238.4,396.9,178.7,298.7,2400.0,600.0,600.0,5200.0
40.1,306.3,151.6,143.6,2500.0,700.0,600.0,5400.0
200.0,382.0,168.6,285.4,2200.0,500.0,600.0,4900.0
193.0,354.1,157.7,256.3,2600.0,800.0,700.0,6000.0
212.7,405.1,178.2,279.6,2000.0,400.0,500.0,4900.0
207.9,358.4,149.9,280.1,2500.0,700.0,700.0,6000.0
274.6,397.7,191.1,242.8,1400.0,300.0,500.0,3900.0
249.0,367.8,183.7,240.6,1600.0,300.0,600.0,4300.0
221.2,343.4,171.9,215.2,1600.0,300.0,500.0,4600.0
229.1,342.0,179.3,200.4,2000.0,400.0,700.0,5100.0
239.7,370.3,183.7,230.7,1600.0,200.0,400.0,4100.0
219.7,349.1,184.3,225.8,1400.0,300.0,500.0,3900.0
227.1,348.2,184.8,216.0,1800.0,300.0,500.0,4600.0
229.9,373.2,171.9,252.0,1400.0,300.0,500.0,3600.0
255.2,362.1,182.2,200.2,1800.0,300.0,600.0,4800.0
270.7,372.3,180.5,219.3,1500.0,300.0,500.0,4300.0
269.9,367.8,192.3,238.2,1400.0,300.0,500.0,3900.0
290.4,405.1,206.4,298.9,1400.0,300.0,500.0,3900.0
236.9,343.1,171.9,238.2,1500.0,300.0,500.0,3900.0
246.0,387.3,193.4,222.2,1500.0,200.0,400.0,3500.0
83.5,361.5,167.5,158.8,1900.0,400.0,500.0,4400.0
255.8,383.6,192.9,255.9,1400.0,300.0,500.0,3800.0
232.2,331.6,169.2,199.7,1800.0,300.0,500.0,4600.0
263.1,360.7,196.9,229.3,1600.0,300.0,500.0,4200.0
256.6,388.8,202.4,234.6,1600.0,200.0,400.0,4100.0
270.7,375.7,192.3,247.7,1800.0,300.0,500.0,4600.0
283.1,389.8,189.4,244.7,1600.0,300.0,500.0,4100.0
220.9,327.0,164.0,208.7,1400.0,300.0,500.0,3900.0
229.6,355.9,173.6,211.6,1400.0,300.0,500.0,3900.0
221.7,356.4,169.2,230.9,1700.0,300.0,700.0,4800.0
278.6,390.7,199.5,254.0,1200.0,100.0,300.0,2600.0
234.4,348.5,174.2,225.6,1800.0,400.0,700.0,4200.0
206.2,309.2,165.2,214.7,1700.0,500.0,600.0,5000.0
259.2,365.2,191.1,241.9,1800.0,300.0,500.0,4600.0
258.1,369.2,182.2,241.1,1400.0,300.0,500.0,3900.0
241.1,355.9,179.3,232.6,1400.0,300.0,500.0,3900.0
277.8,393.3,202.4,213.5,1200.0,100.0,300.0,3300.0
274.2,360.5,195.2,236.0,1400.0,300.0,500.0,3900.0
269.9,371.7,207.0,233.1,1600.0,200.0,400.0,4100.0
248.2,375.9,186.6,222.7,1600.0,300.0,500.0,4300.0
241.1,344.6,169.2,205.1,1400.0,300.0,500.0,3900.0
235.5,340.6,177.0,218.1,1400.0,300.0,500.0,3900.0
